buyer_id,label,id_new_ip2_3m,id_new_ip3_3m,no_unique_umid_14d,no_unique_ip2_14d,no_login_14d,id_ip_same_seller_14d,id_ip3ua_same_seller_14d,avg_price_per_order_usd_14d,std_price_per_order_usd_14d,avg_dscnt_rate_per_order_14d,std_dscnt_rate_per_order_14d,avg_shpfee_per_order_usd_14d,std_shpfee_per_order_usd_14d,id_susp_paymethod_14d,no_acct_umid_3m,max_cancel_rate_14d,max_avg_price_seller_usd_14d,max_avg_dscnt_rate_seller_14d,max_avg_shpfee_seller_usd_14d
11270992,0,0,1,1,4,12,0,0,1.1184021005997251,0.5889473483901423,0.2909948131967108,0.2324058208434961,0.6316036939296928,0.20511324189511437,0,0,0.24405079500586918,4.513573228590069,0.5558127131339904,1.181925265109294
11764964,0,0,0,3,1,23,0,0,12.572217072847776,0.0,0.43624999999999986,0.0,0.7665986020029131,0.0,0,0,0.19809182258009947,10.636303827481525,0.2854947371822467,0.774092691339087
11764964,0,0,0,1,1,7,0,0,5.201169501571489,0.0,0.5842134519177321,0.0,1.5297557357563205,0.0,0,0,0.1293213828425096,4.407116470905359,0.5829692869884121,0.5270380077854783
11958739,0,1,1,1,1,3,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
11971660,0,1,1,3,2,5,0,0,11.968603315726707,5.685478616860713,0.06951515151515147,0.02898484848484843,0.0,0.0,0,0,0.13032268810965061,22.880354573348875,0.0032247246253793702,5.288857388158529E-5
12068606,0,0,1,3,3,15,0,0,1.073784224973499,0.790570810803704,0.7568962365591398,0.019670430107526865,0.591041988814942,0.03476717581264366,0,0,0.16951983298538623,1.8098937609611212,0.7971657463581404,0.5209233634077366
1219289,0,0,0,1,1,1,0,0,14.650604926227956,0.0,0.4783796974133724,0.0,0.0,0.0,1,0,0.19161851824764134,22.545819388509468,0.564868957177198,0.9213327114334396
12266616,0,0,0,1,2,12,0,0,3.4767175812643645,0.0,0.8603351955307263,0.0,0.38243893393908013,0.0,0,0,0.2590274434280212,2.1423548654170133,0.4507032815455526,0.6405010782213357
12342147,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,1,\N,\N,\N,\N
1238374,0,0,0,1,3,19,0,0,18.98806980542486,0.0,0.17442424242424243,0.0,4.739350854385885,0.0,1,0,0.1259020836862612,3.7351734851105554,0.565305501020142,0.8806673995214286
12739245,0,0,0,1,1,3,0,0,1.576365612384183,0.0,0.02127659574468084,0.0,0.8224516238526172,0.0,0,0,0.15845945335441608,2.461991057110801,0.0986027386370345,0.7143685913600069
1275695,0,0,1,3,1,4,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
12757464,0,0,0,1,1,1,0,0,3.958751890134092,0.0,0.6213333333333333,0.0,0.0,0.0,0,0,0.1714158570792854,1.132140826002111,0.6314920029778193,0.6292819814517518
12879224,0,0,0,0,2,12,0,0,13.475931798108412,3.129220276265663,0.4348129251700681,0.24518707482993188,0.1739168712975296,0.10422053520361954,0,0,0.11877858895519676,3.078836354066266,0.6672659204288325,0.41076318814964324
12879224,0,0,0,0,2,13,0,0,7.680764480529234,6.968930454959764,0.4135677821627744,0.25555689639285367,0.42415954491425245,0.11297994860905895,0,0,0.1665324698057063,8.721155831100694,0.6676436642022123,1.4588097909535547
13078571,0,0,1,1,2,11,0,0,48.069898596949244,85.62678099484097,0.44848629079737723,0.15845684085180828,1.1103096922010334,0.660810863299112,1,0,1.0,265.25015790169465,0.7965198797750617,0.8588000706595602
13162197,0,0,0,1,2,32,0,0,19.013959848879935,0.0,0.4128888888888888,0.0,2.62839849143586,0.0,0,0,0.13875168387965872,9.627472923515578,0.6763794859279533,1.04736275343904
13162197,0,0,0,1,2,38,0,0,19.013959848879935,0.0,0.4128888888888888,0.0,2.62839849143586,0.0,0,0,0.14056191117092867,9.63203792426757,0.6763860714145641,1.0514793499268769
13276255,0,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
1328593,0,0,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
13325353,0,0,0,9,2,18,0,0,3.442999003039158,1.3765452784125614,0.2053623878701278,0.0872409556259117,0.8828202571895276,0.03285516791724037,1,0,0.234375,4.254988031682006,0.2863414981330301,0.7839799260999727
13325353,0,0,0,11,1,17,0,0,9.802789671608451,7.551598015775156,0.5351676686706748,0.03416566466265866,0.4530261846104155,0.4530261846104155,1,0,0.6101694915254238,48.129985303445046,0.5648057796317579,0.8761560356567195
1334275,0,0,1,2,3,12,0,0,2.734651649309952,0.0,0.7704257767548907,0.0,0.0,0.0,0,0,0.177992277992278,3.4709260925954424,0.6840340522960716,0.46973727278535926
13752753,0,0,0,5,2,9,0,0,75.75991733408024,0.0,0.22301644031451043,0.0,0.4809047190479795,0.0,0,0,0.34005037783375314,93.69542693524674,0.205690580195188,0.7041799049081205
13756506,0,0,1,1,1,1,0,0,5.798455292249255,1.2643480275850962,0.3861607113480078,0.05439303458033107,0.0,0.0,0,0,0.23487952794623831,4.404797536181511,0.46468089789565825,0.3020034357639263
1385727,0,1,1,2,2,10,0,0,5.840885536524133,2.4337023068850554,0.11566666666666657,0.0676666666666667,0.3129045823137928,0.3129045823137928,0,0,0.11778645107332032,8.188861805820604,0.28776320080716655,1.0105019516940321
13925044,0,1,1,1,1,1,0,0,3.1363351242259534,0.0,0.47058823529411764,0.0,0.0,0.0,0,0,0.17403574788334902,2.4216394643822516,0.47635631429606534,0.7990143893632471
1402051,0,0,0,1,1,2,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
14022151,0,0,0,1,3,6,0,0,6.230071050683575,0.0,0.5772093023255814,0.0,0.4729096837152549,0.0,0,0,0.14685314685314685,4.393600427738432,0.6130013484110011,1.218169334313598
14070430,0,0,1,6,4,16,0,0,1.1543107183873387,0.0,0.66876,0.0,0.5575706887512806,0.0,0,0,0.1523330730183522,2.0934794832635024,0.5763504467274618,0.6597452427152579
14111326,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
14179085,0,0,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
14304554,0,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
14397594,0,0,0,1,2,4,0,0,3.2212688600894173,0.0,0.27692307692307705,0.0,0.0,0.0,1,0,0.14537377710710592,2.44176928862051,0.4582862562982859,0.6970859329497082
14528794,0,0,1,0,4,35,0,0,2.427907777582948,2.810060196272224,0.7991481481481482,0.21161569977101122,0.3708498753348655,0.2622304616514692,0,0,0.2996307867083215,7.509146467211977,0.9145035847454458,1.0314315635643365
14671923,0,0,0,3,3,12,0,0,2.021069612730421,1.0941083426814169,0.42000000000000004,0.314,0.519215487525049,0.03831076847706957,0,0,0.3023889095185048,2.0505142133886403,0.7738100348225058,0.4414526747451523
14674466,0,0,0,1,2,7,0,0,2.1589355126131204,0.10280645298157698,0.5390977443609022,0.11804511278195487,0.6168387178894629,0.3426881766052572,0,0,0.17981781615994322,1.8557863140212199,0.7102213020337047,1.3272677125760535
1482764,0,0,0,3,2,11,0,0,20.317861958829447,25.16791597411757,0.29531533972253265,0.24767355418286516,1.7563476695665337,0.22862098086240532,0,0,0.5,63.61640291813683,0.5292169601755597,1.4786560323827485
14834877,0,0,1,0,2,6,0,0,15.505354910725618,7.818709875445747,0.2606039186507936,0.17665838807857978,0.8138844194374858,0.15397151766310266,0,0,0.3888888888888889,19.414686488187193,0.6104645052413055,1.7934437763762607
14852980,0,0,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,1,\N,\N,\N,\N
14869450,0,0,0,2,4,12,0,0,1.4602213841310332,0.0,0.5333333333333333,0.0,0.4797870262144823,0.0,0,1,0.16192980681703248,3.9878138509108245,0.2727436593117916,0.943948035230266
14900983,0,0,0,1,1,8,0,0,0.8565679705941548,0.0,0.1806666666666667,0.0,0.5575706887512806,0.0,0,0,0.14278798379493973,1.7201092725897806,0.20185816028304696,0.4698781167971372
1490495,0,1,1,1,4,20,0,0,2.211192381684136,0.0,0.0,0.0,0.0,0.0,0,0,0.16558162387913034,0.8889786648782565,0.011260833433349054,0.27505606865166615
14977885,0,1,1,1,2,3,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
15062770,0,0,1,1,4,6,0,0,123.00626802513322,0.0,0.016675931072818197,0.0,0.0,0.0,0,0,0.26645906074046116,131.4299392018855,0.11477990530820381,0.2403065988122643
15159713,0,0,1,3,1,3,0,0,3.7548549877655137,0.0,0.16923076923076932,0.0,0.0,0.0,0,0,0.17505809450038728,4.649137179093512,0.143708536037705,0.7408780900370643
15179762,0,0,1,0,2,5,0,0,3.7729339191880884,0.0,0.6382666666666666,0.0,0.4797870262144823,0.0,0,0,0.10600827418681444,1.87181645531407,0.6641394437175198,0.2913925278327536
15308333,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
15308333,0,0,1,1,5,10,0,0,4.7976344724736,0.0,0.5,0.0,0.0,0.0,0,1,0.358974358974359,4.533812965063402,0.504888729745109,0.9004554303627573
15353101,0,1,1,1,3,3,0,0,140.57750990141662,0.0,0.1507368421052632,0.0,0.6621151928921457,0.0,0,0,0.6822061720288903,171.1544498101252,0.01900468715302435,1.0511115679016902
15576694,0,0,0,3,3,9,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
1561708,0,0,0,1,4,7,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
15653087,0,1,1,1,1,1,0,0,3.546251932889652,0.0,0.575,0.0,0.6258091646275856,0.0,0,0,0.1206896551724138,3.037733924614838,0.6142181303377117,0.7600905883393164
15700122,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,1,\N,\N,\N,\N
15720269,0,0,0,2,6,10,0,0,25.929313364835213,32.88815471360729,0.315087927581112,0.23070563451770562,0.43806641523930995,0.341922403525784,0,0,0.44184752365052865,14.527986993579878,0.3360109057311686,1.1161504317114759
15751197,0,0,0,2,1,11,0,0,2.0211937467233922,0.0,0.5166666666666666,0.0,0.4809047190479795,0.0,0,0,0.15876421368804977,4.062748368392223,0.5825756020179662,1.0299703460444447
15751247,0,0,1,2,2,8,0,0,1.986345578676437,0.0,0.544,0.0,0.6969633609391007,0.0,0,0,0.1688490284005979,0.9116315564506423,0.4790059401574702,0.6235713542555443
15787968,0,0,0,0,2,15,0,0,1.4371384502564255,0.15423799177582292,0.5558285714285713,0.0817428571428572,0.5540858719465851,0.0731811528986056,0,0,0.1279932782523456,1.2215291518362974,0.6146306236876808,0.6407502038483383
15787968,0,0,0,0,2,30,0,0,1.043214758653646,0.343848720180777,0.6527739573070608,0.11667673428332288,0.5101771802074218,0.05854492231888451,0,0,0.14355962300232208,1.2134298818987268,0.8094596820930412,0.7072975888538542
15787968,0,0,0,0,3,41,0,0,4.163194476009561,2.376201042990899,0.2797222222222222,0.24340974193555973,0.5552474775481503,0.48655608528800964,1,0,0.33319849875038454,6.947726655476411,0.5866795973733738,0.6884817486156265
15787968,0,0,0,0,2,14,0,0,1.5268352929880584,0.350020375816474,0.5422254079254079,0.058304947289342116,0.5180309196083903,0.03824389339390799,0,0,0.13611329661683713,2.3355487699851976,0.6920893655328617,0.6337117559862696
15787968,0,0,0,1,3,38,0,0,1.4851420197718637,0.5429811344330348,0.3034013102450827,0.21459542895081327,0.47290968371525494,4.1962486042515756E-17,0,0,0.26252676659528906,3.7776769163451176,0.5832021743738924,0.9022079978686391
158687,0,1,1,1,4,10,0,0,23.148586329685124,0.8053172150223551,0.29416961130742053,0.29416961130742053,1.4564247505723429,0.5654354913986743,0,0,0.43466223698781836,40.88206608974341,0.5078658587500517,0.7333261542665859
16345178,0,0,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
16423735,0,0,0,1,1,12,0,0,211.0680476409783,198.53007353492166,0.313185100121671,0.15788866702389281,0.2259866427821837,0.39142034713066065,0,0,0.28449617151607964,149.8146028713869,0.6845893084553375,0.7140746948327104
1683695,0,0,0,1,1,9,0,0,8.132447280781802,0.0,0.36446623093681924,0.0,0.4878743526573705,0.0,1,0,0.17922606924643583,4.790492497368658,0.43846238798395387,0.7921583889857875
1683938,0,0,0,1,3,11,0,0,1.526279018175056,0.14254542083183885,0.3831210191082802,0.016878980891719797,0.6953435162528729,0.27813740650114915,0,0,0.1672833141262813,1.8992239199812029,0.6345222323389665,0.7281667087323587
16875623,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
1709673,0,0,0,1,3,9,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
17290851,0,0,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
17429715,0,0,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
17464389,0,0,0,1,2,16,0,0,9.755908457333597,6.6556083178306,0.511518191749778,0.10957052691662371,0.8307643428654763,0.3004837611546913,0,0,0.26424694708276797,14.020150352372218,0.7574008268208136,1.4599856364708261
17464389,0,0,0,0,1,13,0,0,1.3872128210126284,0.9362130163710152,0.49155862068965517,0.07604137931034483,0.4763483549648686,0.003438671249613723,0,0,0.15267494003545728,1.641802965885757,0.575452378246751,0.6791702160098924
17513675,0,0,0,2,3,8,0,0,1.984164542544439,0.0,0.7368181818181818,0.0,0.6168387178894629,0.0,0,0,0.13216790429042904,4.045710916314552,0.6577325633433689,1.1872501043373214
17662737,0,0,0,4,2,8,0,0,6.847665021226665,0.0,0.42205882352941176,0.0,1.1151413775025611,0.0,0,0,0.2976190476190476,1.9823646340875618,0.4539913100553761,0.6974437708043287
17846211,0,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
17959690,0,1,1,1,1,5,0,0,4.0423874934467845,2.021193746723392,0.6133333333333333,0.0,0.6586303760874501,0.17772565703947066,0,0,0.17530897367006987,6.369476405660959,0.603556882177893,1.3135495311801797
18211043,0,0,1,0,1,2,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
18211043,0,0,0,0,4,18,0,0,5.366617879231075,0.0,0.5470588235294118,0.0,1.0105968733616961,0.0,1,0,0.11446597566471384,2.537922191155802,0.5303576679943106,0.4794650817549743
18232840,0,0,1,1,2,4,0,0,0.8362893840031776,0.0,0.8,0.0,1.533197204005826,0.0,1,26,0.65625,2.6842016257487082,0.7428010481485556,0.35259885738068114
18393829,0,0,0,8,4,18,0,0,114.60464177732588,90.9977272598963,0.10310018794242316,0.0668721268480837,0.2903782583344368,0.4106568711548387,0,0,0.4911470361816782,258.9366717828661,0.20596132140937243,1.4881036897701176
18393829,0,0,0,2,1,2,0,0,210.22552308045192,82.53639342143406,0.08030162677157539,0.00892974699064624,0.9618918641498077,0.13111523082573467,0,7,0.42535446205170974,110.63947054745564,0.09501578939829204,0.6652646045383452
1840479,0,0,0,1,1,4,0,0,1.5681675621129767,0.8202284609733834,0.016666666666666653,0.023570226039551567,1.626247842191235,0.1642758395862018,0,0,0.16606498194945848,3.316699088354964,0.08528286274354345,0.9402739738835485
18444977,0,0,0,3,2,3,0,0,155.6900923953004,72.71114543779598,0.13243716234844372,0.045553527093386524,0.3783277469722039,0.18916387348610195,0,0,0.4794227685729556,144.06152237249424,0.20677280345983712,0.9901380850387347
18444994,0,0,0,1,1,4,0,0,164.2415575545285,98.82648816412417,0.15263763525466117,0.09818704941392893,0.5575290330489412,0.8870175325941003,0,12,0.6157024793388429,157.62942607847506,0.1297258280771441,1.2234065130658944
18448650,0,1,1,4,1,5,0,0,36.1707370406849,35.3825542344928,0.1268763402430307,0.1268763402430307,0.23645484185762744,0.23645484185762744,0,11,0.30724011513154464,93.73444162734924,0.20723566833527945,0.6341411688216929
18470495,0,0,0,1,2,8,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
18652117,0,0,1,2,6,7,0,0,1.2952927699325512,0.623623943786247,0.6966766666666666,0.0233433333333333,1.0280645298157716,0.0,0,1,0.1803990658417667,1.268620063917512,0.6554173746593094,0.45113918275959985
18716151,0,0,0,1,3,9,0,0,8.9799380550348,0.08759109794030318,0.42023459459459456,0.06895459459459459,0.23645484185762744,0.23645484185762744,0,0,0.2239202657807309,6.212942783734684,0.5573143885603135,0.7737354381428221
18828537,0,0,0,1,2,10,0,0,3.1801462788967862,1.1377247463294535,0.32081567796610166,0.2520656779661018,0.5106053831418331,0.03769569942657833,0,0,0.12301364741073098,3.907404631698123,0.5994363952492141,0.5455290278562297
18923830,0,0,0,3,3,7,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
18923830,0,0,0,3,3,39,0,0,3.8814422748993493,0.47425904526027196,0.7115064455569462,0.07998291614518149,0.5562748130022983,0.0,0,0,0.14250197762459035,1.7041957940741714,0.7309279867379617,0.7208420681176401
18992241,0,1,1,8,1,18,0,0,2.2999790910990323,0.0,0.625,0.0,0.0,0.0,1,0,0.19495671810312382,3.5827402509148034,0.4252139051866921,0.3837071938804022
19144571,0,0,1,0,2,10,0,0,1.033095040214102,0.6643183067106828,0.6902102564102565,0.08882761296901158,0.5052829551437543,0.036056688477077,0,0,0.36585365853658536,11.222095003943263,0.685424887697405,3.8185254376574043
19180715,0,0,0,1,2,8,0,0,15.029875485979517,0.0,0.5042574712643678,0.0,1.1151413775025611,0.0,1,0,0.13841524573721165,4.677574009869763,0.5683492856488969,0.4389590255112086
19190948,0,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
19239709,0,1,1,1,1,3,0,0,17.731259664448263,0.0,0.7315789473684211,0.0,1.0082480985666655,0.0,0,0,0.16431802366040363,1.303872979700504,0.6049636944971335,0.5517730591718386
19486908,0,0,0,1,1,2,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
19577865,0,0,1,1,4,6,0,0,11.674136295729937,0.0,0.04285714285714288,0.0,0.6969633609391007,0.0,1,0,0.30086455331412104,7.814480073186375,0.1278422560170539,0.39104146227140685
19793105,0,0,1,1,3,11,0,0,28.601500566258878,74.96581898411254,0.9323953093155952,0.1629974549468082,2.176069921443383,1.3455693910353683,1,3,0.7667621776504298,118.13097606042976,0.9395515155378756,2.6528018630166814
1981084,0,0,0,2,2,3,0,0,9.602122708479307,0.0,0.15754660252555613,0.0,0.0,0.0,1,0,0.07180516068665203,10.771194271622075,0.19972348614582966,0.6455757945323536
19893824,0,0,0,1,1,9,0,0,10.45445041408651,0.0,0.6250000000000001,0.0,0.0,0.0,0,0,0.9980466810130773,11.523952379422456,0.4763161902580352,1.8955615424677512
19937202,0,1,1,1,2,13,0,0,193.30549751829855,0.0,0.0,0.0,50.37763775252061,0.0,1,1,0.17647058823529413,6.759274445681509,0.0023181174669900423,1.0415351620617153
20010880,0,0,0,1,2,3,0,0,1.3590785538312464,0.0,0.0,0.0,0.4809047190479795,0.0,0,0,0.23272357723577236,3.814719721565915,0.010997173000313252,0.71763157718957
20035451,0,0,0,1,1,1,0,0,2.711839713386204,0.0,0.5894736842105264,0.0,0.6258091646275856,0.0,0,0,0.14519677340503545,1.6634608345786408,0.6014494053455213,0.9327699834683155
20053296,0,0,1,0,3,9,0,0,8.52259369753938,5.086919289793332,0.20985208118335033,0.23077902639096967,1.2052620948383133,0.3277880770643366,0,0,0.26884422110552764,4.224364809016426,0.6897856298872868,1.2489979788948409
20140428,0,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,25,\N,\N,\N,\N
2025658,0,0,0,2,6,26,0,0,2.7430605701933652,4.143836922363758,0.6143305720868301,0.16321345490276232,0.47367383288183557,0.2229422397611935,1,0,0.3961267605633803,10.283597625933703,0.8338735140359771,0.9618119605194418
20545161,0,0,0,1,2,7,0,0,0.940900537267786,0.0,0.0,0.0,0.5575706887512806,0.0,0,1,0.16806167400881059,5.806277125827462,0.0410632096003777,0.6601200516832365
20730975,0,0,0,1,3,11,0,0,7.153044539673735,3.4876850552257808,0.44225197303007696,0.015739615420527042,0.36553405504560765,0.2584716090773659,0,0,0.11485625265543124,3.1795511741737976,0.5074557508162295,0.794752105135592
20744501,0,0,0,2,1,19,0,0,1.8174574170536744,1.9614793944167266,0.4216487383931053,0.300912930351335,0.7373872358735685,0.26799668650811936,0,0,0.16698886740883942,8.798072404100587,0.5239317196043388,2.0032643201743494
20850299,0,0,0,2,3,20,0,0,0.9350491675943445,0.19360628653258655,0.09142857142857144,0.14456126446484024,0.474867901867285,0.08479333329049166,1,0,1.0,23.16825444178005,0.34816603581877614,0.8138853851021747
20885310,0,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,7,\N,\N,\N,\N
2096795,0,1,1,1,2,4,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
210079,0,0,0,1,2,5,0,0,1.9302736011179753,0.0,0.6298666666666666,0.0,0.4797870262144823,0.0,0,0,0.18095063314369608,0.7841395551299841,0.7802352249303446,0.5918581693734289
21071330,0,0,0,3,3,7,0,0,46.72708429219306,0.0,0.03999999999999996,0.0,4.338943541417927,0.0,1,0,0.6768447837150128,36.91793653214561,0.0059855715326455556,2.933603187194825
21161227,0,0,0,1,1,14,0,0,2.081684651782038,1.3863411355291655,0.5864754098360656,0.08647540983606561,0.7579244327156315,0.27813740650114915,0,0,0.27114037838402844,26.546820238214575,0.4656387622638299,2.2064030568309465
21239740,0,0,0,1,1,2,0,0,34.03969054826568,0.0,0.49440993788819876,0.0,0.0,0.0,0,0,0.25183374083129584,34.66522347719636,0.37718276266266615,0.6635493383198868
21347170,0,0,0,1,2,2,0,0,2.787853443756403,1.7251309794635181,0.15785440613026822,0.1142559314612463,0.3206031460319863,0.22670065862895847,0,0,0.15013628104179286,2.777903842495426,0.5661775897141154,0.6477686225941236
21857908,0,0,1,0,3,3,0,0,1.56841683525998,0.0,0.06016666666666665,0.0,0.4797870262144823,0.0,0,0,0.1544461778471139,2.6383786267564506,0.029536650422939546,1.0723764740350876
22100823,0,0,0,0,3,6,0,0,3.8381075779788802,0.0,0.25333333333333335,0.0,0.5483010825684115,0.0,0,0,0.4316129032258065,2.465424211103893,0.42958450442354695,1.0970077255465973
22174495,0,0,0,1,4,8,0,0,5.265209710214437,5.345083810237853,0.3785852305531716,0.3474322102528561,0.5408435680887421,0.3780754825178469,0,0,0.9641407163052385,17.903136571807842,0.8649659964155932,1.572157374464936
2219508,0,0,0,18,3,21,0,0,9.230685178256888,1.7209752027258602,0.3042713567839196,0.09572864321608043,0.7196805393217235,0.7196805393217235,1,0,0.5,14.461857049484856,0.565143448133796,2.96523272416975
22386042,0,0,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,0,\N,\N,\N,\N
22522155,0,0,0,1,2,3,0,0,1.1294088130962918,0.0,-0.13886156008432887,0.0,0.48086639580182733,0.0,0,0,0.1011399325346051,1.0293857966706028,0.16514130938317426,0.5444837425000958
