ato_create_date,order_create_date,order_number,order_buyer_id,freq_umid,abnormal_umid,earliest_abnormal_login,ip,useragent,acsdata_entrance,app_version,ipparse_ipisp,ipparse_ipcntryname,ipparse_ipprovname,logindata_logintype
2022-05-09 10:19:02,2022-05-08 08:43:04,866983966619780,2819780,WV1bz60ad2c7e3accedc500066501d1e2,WV600007561c9c25820212c70fb7d41a0,2022-05-08 07:44:24,118.99.96.107,MTOPSDK%2F3.1.1.7+%28Android%3B7.1.1%3Bsamsung%3BSM-J250F%29,native,6.99.1,biznetnetworks.com,印度尼西亚,巴厘省,sms
2022-04-14 09:09:18,2022-04-12 10:03:52,837987466213228,3013228,WV16z6207c849057e662a00075f02f2ca,WV19z5e85a4c55ef605120009e401b44e,2022-04-12 10:24:53,182.1.190.120,MTOPSDK%2F3.1.1.7+%28Android%3B11%3BOPPO%3BCPH2043%29,native,6.96.0,telkomsel.com,印度尼西亚,中苏拉威西省,sms
2022-03-01 07:12:48,2022-02-28 20:41:33,810185162140551,3440551,WV10z5ebe020407055beb0007460163ad,WV1cz61c72e2d289df2920005ee008e2d,2022-02-28 20:55:07,120.188.72.47,MTOPSDK%2F3.1.1.7+%28Android%3B10%3BXiaomi%3BRedmi+Note+8+Pro%29,native,6.93.0,indosatooredoo.com,印度尼西亚,,sms
2022-03-06 16:33:37,2022-03-06 15:45:27,814792101981397,3581397,WV12z6196a70a780204a600064200409f,wV17s611158396f03014200088c224299,2022-03-06 18:49:45,180.253.239.115,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:97.0) Gecko/20100101 Firefox/97.0,pc,\N,telkom.co.id,印度尼西亚,西爪哇省,pass
2022-02-22 10:26:52,2022-02-19 17:52:45,797509413028242,3628242,WV14z5ff346541f40862c00050601d3ca,WV1cz61b5c43150c5573f00061301905e,2022-02-19 18:11:52,120.188.72.164,MTOPSDK%2F3.1.1.7+%28Android%3B11%3Bvivo%3Bvivo+2007%29,native,6.93.0,indosatooredoo.com,印度尼西亚,,sms
2022-05-07 06:58:54,2022-04-21 17:54:28,848270836429876,3729876,WV1bz60203219127acfc70005c2001ed6,wV19s616c4e0773b9432f000928889fc2,2022-04-28 11:16:17,139.192.243.204,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36",pc,\N,linknet.co.id,印度尼西亚,万丹省,pass
2022-04-06 08:39:26,2022-04-06 05:05:01,839244571506694,3806694,WV18z61d7174e12081b350005e8016992,WV14z5f6d7f7f68e353c50008350076f2,2022-04-06 04:49:22,103.94.168.85,MTOPSDK%2F3.1.1.7+%28Android%3B9%3BOPPO%3BCPH2083%29,native,6.96.0,balitower.co.id,印度尼西亚,,sms
2022-04-07 10:41:54,2022-04-07 06:16:38,833207274576959,3876959,WV19z61b010b62ea8ae3a00066f01e176,WV18z6221d7cc6ee58b460005e00194ae,2022-04-07 11:33:42,140.213.69.174,MTOPSDK%2F3.1.1.7+%28Android%3B11%3BOPPO%3BCPH2217%29,native,6.95.2,xl.co.id,印度尼西亚,楠榜省,sms
2022-03-08 16:06:19,2022-03-08 15:34:44,809582443279504,4079504,WV12z6127b2cb775a9f3600076c00ee6a,wV19s622887ca57c2ef290008fdc1f0ca,2022-03-09 18:56:30,66.96.225.109,"Mozilla/5.0 (Linux; Android 11; RMX2193) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.58 Mobile Safari/537.36",h5,\N,myrepublic.net,印度尼西亚,,pass
2022-03-31 10:29:51,2022-03-31 10:51:57,834097562649847,4149847,WV17z5bc1d92a28a48a220009bf7d29e1,WV1dz613844f600897bd200061a0197e3,2022-03-31 11:12:35,182.1.222.74,MTOPSDK%2F3.1.1.7+%28Android%3B12%3BOPPO%3BCPH2251%29,native,6.95.2,telkomsel.com,印度尼西亚,中苏拉威西省,sms
2022-05-07 10:38:42,2022-04-26 15:59:47,860789127854839,4354839,WV1ez61bd4c7e2e88a6f0000ff600075d,WV10z6150a659113a1b2e0006ab0103c6,2022-04-27 12:53:27,114.125.217.153,MTOPSDK%2F3.1.1.7+%28Android%3B11%3Bvivo%3BV2025%29,native,6.98.0,telkomsel.com,印度尼西亚,中苏拉威西省,sms
2022-05-25 04:32:36,2022-05-23 21:48:47,877315365222279,4522279,WV600007e5fa7da1e20210466f89eeaec,wV18s628c261b7cdac2700004dbaff4ad,2022-05-24 08:26:15,180.252.51.212,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36",pc,\N,telkom.co.id,印度尼西亚,廖内群岛省,3rd
2022-05-17 11:41:15,2022-05-16 18:49:05,865337672435633,4535633,WV60000475fda1e9b202104670309a799,WV12z61ad87fe32f1857400064301778d,2022-05-16 21:56:12,114.79.39.212,MTOPSDK%2F3.1.1.7+%28Android%3B11%3BOPPO%3BCPH2059%29,native,6.98.0,smartfren.com,印度尼西亚,南苏拉威西省,sms
2022-03-28 10:59:39,2022-03-27 12:16:09,823157007984336,4684336,WV12z5f828bd43dcba7cd00057102514c,WV19z5e86b57e23efa5d8000a2601113b,2022-03-28 08:42:06,114.5.111.174,MTOPSDK%2F3.1.1.7+%28Android%3B8.1.0%3BOPPO%3BCPH1909%29,native,6.96.0,indosatooredoo.com,印度尼西亚,东爪哇省,sms
2022-03-23 13:35:51,2022-03-20 18:36:49,818128633189066,4689066,WV10z61ee4d533cfba56c0007d300a843,WV11z615530a70ff966950005f30115e0,2022-03-20 18:51:48,182.1.162.10,MTOPSDK%2F3.1.1.7+%28Android%3B10%3BOPPO%3BCPH2239%29,native,6.96.0,telkomsel.com,印度尼西亚,中苏拉威西省,sms
2022-03-20 14:35:05,2022-03-19 12:06:54,817258014202281,4702281,WV15z6001b8b83dcba7cd00078a00a318,WV16z618af9ec14e1b24f0005c100c55b,2022-03-19 17:50:36,114.125.223.251,MTOPSDK%2F1.9.3.48%20%28iOS%3B15.3.1%3BApple%3BiPhone12%2C5%29,native,6.95.0,telkomsel.com,印度尼西亚,中苏拉威西省,sms
2022-04-03 19:19:09,2022-04-03 13:13:13,836680573617292,4817292,WV12z5ac39cf33ed3aca50013f50f2ff8,WV12z6087dc4f0c973daa000649017c4e,2022-04-03 19:49:17,120.188.80.170,MTOPSDK%2F3.1.1.7+%28Android%3B10%3BXiaomi%3BM2006C3MG%29,native,6.92.0,indosatooredoo.com,印度尼西亚,东加里曼丹省,sms
2022-03-04 14:06:22,2022-03-02 17:35:08,811712737323462,4823462,CV1ds621f35a111896cbc0008c31148be,wV1fs6221863e73b9432f000930411bce,2022-03-04 11:24:16,140.213.35.247,"Mozilla/5.0 (Linux; U; Android 11; en-us; Redmi Note 9 Build/RP1A.200720.011) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/89.0.4389.116 Mobile Safari/537.36 XiaoMi/MiuiBrowser/12.22.0-gn",h5,\N,xl.co.id,印度尼西亚,,pass
2022-05-24 17:02:03,2022-05-17 09:54:37,873031735353237,5153237,WV14z5e6c43c76faa1e710009ba011e11,WV1az620ece776bdd646200074d013cdb,2022-05-17 17:05:59,182.1.170.196,MTOPSDK%2F3.1.1.7+%28Android%3B11%3BOPPO%3BCPH2043%29,native,6.99.1,telkomsel.com,印度尼西亚,中苏拉威西省,sms
2022-04-07 08:28:35,2022-04-04 12:53:12,837698316542767,5642767,WV1ez5fd5d7a5296285bd00052b00b812,WV60179035f72df76202104633921ef91,2022-04-04 13:49:09,182.1.178.80,MTOPSDK%2F3.1.1.7+%28Android%3B9%3BXiaomi%3BRedmi+8%29,native,6.96.0,telkomsel.com,印度尼西亚,中苏拉威西省,sms
2022-03-29 12:34:45,2022-03-19 07:12:29,823863154487768,5987768,WV13z616bddee518abd5c000604006e15,WV1ez5f4c482354c9693d00052b01226c,2022-03-20 20:18:25,182.1.181.80,MTOPSDK%2F1.9.3.48%20%28iOS%3B14.6%3BApple%3BiPhone10%2C6%29,native,6.95.0,telkomsel.com,印度尼西亚,,sms
2022-04-25 09:07:27,2022-04-22 23:10:26,857184905487781,6087781,WV16z603137fc4fbb27a300059201090e,WV12z61ad87fe32f1857400064301778d,2022-04-24 22:30:42,114.79.39.23,MTOPSDK%2F3.1.1.7+%28Android%3B11%3BOPPO%3BCPH2059%29,native,6.98.0,smartfren.com,印度尼西亚,南苏拉威西省,sms
2022-05-28 14:48:58,2022-05-27 13:03:28,872380246534725,6534725,WV11z602fec45609d2c1500055b0192a2,WV16z62919ec2439e7c92000591016ba4,2022-05-28 12:14:25,114.5.110.219,MTOPSDK%2F3.1.1.7+%28Android%3B11%3BXiaomi%3BM2103K19PG%29,native,6.66.1,indosatooredoo.com,印度尼西亚,,sms
2022-04-26 10:57:17,2022-04-25 23:22:35,860248974007563,6607563,WV11u5cb5ebb80562856c00078c39fa3c,WV1dz58cb9cda160ebc370008f2daa330,2022-04-26 11:23:25,140.213.226.105,MTOPSDK%2F3.1.1.7+%28Android%3B5.1.1%3BOPPO%3BA37f%29,native,6.98.0,xl.co.id,印度尼西亚,南苏拉威西省,sms
2022-04-14 10:38:46,2022-03-28 09:30:25,824163417600101,6800101,WV12z58ca0342240b6ff20008f0957024,WV19z5e85a4c55ef605120009e401b44e,2022-03-28 19:30:04,114.125.199.153,MTOPSDK%2F3.1.1.7+%28Android%3B11%3BOPPO%3BCPH2043%29,native,6.96.0,telkomsel.com,印度尼西亚,中苏拉威西省,sms
2022-04-18 12:37:24,2022-04-15 20:21:39,841465038663790,6963790,WV13z5c2d40e35dfe0a77000a203bad85,wV1bs625cf0834efe89ab0006ddad5c03,2022-04-18 13:05:01,103.84.232.2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Safari/537.36",pc,\N,,印度尼西亚,万丹省,pass
2022-04-26 09:09:03,2022-04-25 16:52:50,852760229879400,6979400,WV14z5c66d2172583b0b303e954a016ca,WV12z626002b6145d6d730005ef008f47,2022-04-22 20:40:51,182.2.6.48,MTOPSDK%2F1.9.3.48%20%28iOS%3B15.4.1%3BApple%3BiPhone14%2C3%29,native,6.98.0,telkomsel.com,印度尼西亚,廖内群岛省,sms
2022-03-01 09:49:37,2022-02-26 18:24:03,802080645264269,7064269,WV15u61dfd1e410a0cc050005dc024e3a,WV1dz621b011779537697000637016a1c,2022-02-28 21:42:26,140.213.64.101,MTOPSDK%2F3.1.1.7+%28Android%3B11%3BOPPO%3BCPH2217%29,native,6.55.1,xl.co.id,印度尼西亚,南苏门答腊省,sms
2022-04-06 09:53:05,2022-04-04 14:31:42,830879882315160,7215160,WV12z5f71e8c81d803622000550019cc5,WV11z61c2747f0c5c3d7d000c350138ea,2022-04-06 10:01:51,114.125.185.93,MTOPSDK%2F3.1.1.7+%28Android%3B10%3BXiaomi%3BM2006C3LG%29,native,6.91.1,telkomsel.com,印度尼西亚,中苏拉威西省,sms
2022-05-07 14:00:23,2022-05-06 11:08:05,865794398214638,7614638,WV4ez5e22272140d2fbbf000c060119e1,WV14z61565b783fa77fae0005fe012eec,2022-05-07 10:25:55,114.5.246.63,MTOPSDK%2F3.1.1.7+%28Android%3B11%3Brealme%3BRMX3261%29,native,6.98.0,indosatooredoo.com,印度尼西亚,东爪哇省,sms
2022-04-14 12:09:16,2022-04-14 00:55:30,846628587142826,7642826,wV18s614a1949693fe8a80008e6ab29f8,WV1fz5cf0015278a41bf40008ed61fe95,2022-04-14 14:07:50,112.215.170.157,MTOPSDK%2F3.1.1.7+%28Android%3B10%3BXiaomi%3BRedmi+Note+7%29,native,6.96.0,xl.co.id,印度尼西亚,,3rd
2022-04-08 22:48:48,2022-04-08 23:11:33,834847830364073,7764073,WV19z5dfc604b59aaef2c0008f484c9c1,WV13z6242b5f80f3c9a62000615014492,2022-04-08 22:56:21,140.213.70.80,MTOPSDK%2F3.1.1.7+%28Android%3B11%3Brealme%3BRMX3151%29,native,6.96.0,xl.co.id,印度尼西亚,楠榜省,sms
2022-04-27 10:21:48,2022-04-26 20:13:41,853758876860344,7860344,WV1fz5af3b3ae7886b76b00080e0dd2f2,WV19z624c60820a6191fd0005d4019167,2022-04-26 16:30:09,120.188.32.176,MTOPSDK%2F3.1.1.7+%28Android%3B11%3Bsamsung%3BSM-A207F%29,native,6.96.0,indosatooredoo.com,印度尼西亚,,sms
2022-04-27 10:50:00,2022-04-17 14:33:34,850323597980838,8080838,WV600e5ab5fc98b571021046330f135a6,WV14z5d2682885a675ee90008da5d8ca8,2022-04-18 14:17:35,120.188.87.2,MTOPSDK%2F3.1.1.7+%28Android%3B8.1.0%3BOPPO%3BCPH1909%29,native,6.71.0,indosatooredoo.com,印度尼西亚,东爪哇省,sms
2022-04-18 11:26:23,2022-04-15 15:28:53,848281175680980,8180980,WV1ez5bdec62a7f1088230009413651fa,WV60179035f72df76202104633921ef91,2022-04-15 21:08:19,182.1.175.249,MTOPSDK%2F3.1.1.7+%28Android%3B9%3BXiaomi%3BRedmi+8%29,native,6.96.0,telkomsel.com,印度尼西亚,中苏拉威西省,sms
2022-04-20 09:20:08,2022-04-19 22:23:33,845693008251749,8251749,WV43z5e11f552263c886600085904ce00,WV1dz61b760ad6345ff6e0006c400c35d,2022-04-20 01:49:23,120.188.75.246,MTOPSDK%2F3.1.1.7+%28Android%3B11%3Bvivo%3BV2026%29,native,6.98.0,indosatooredoo.com,印度尼西亚,东爪哇省,sms
2022-04-28 12:50:40,2022-04-25 14:11:04,859796159164034,8264034,WV14z5fe8967b4a2a4711000585010cd8,WV14z6117ad2813bb84600006be0087a7,2022-04-25 14:46:34,114.125.175.151,MTOPSDK%2F3.1.1.7+%28Android%3B12%3Bvivo%3BV2050%29,native,6.98.0,telkomsel.com,印度尼西亚,中苏拉威西省,pass
2022-03-09 10:54:28,2022-03-08 09:40:41,816039547332660,8632660,WV1fz612f6e8e4ab031d10005e400f11a,WV1cz61c72e2d289df2920005ee008e2d,2022-03-08 18:29:10,114.5.220.33,MTOPSDK%2F3.1.1.7+%28Android%3B10%3BXiaomi%3BRedmi+Note+8+Pro%29,native,6.95.2,indosatooredoo.com,印度尼西亚,,sms
2022-03-14 11:24:51,2022-03-07 11:29:08,815372312446661,8646661,CV1ez5ea158f211896cbc0008ff252970,WV1dz613844f600897bd200061a0197e3,2022-03-07 12:44:28,114.125.205.136,MTOPSDK%2F3.1.1.7+%28Android%3B12%3BOPPO%3BCPH2251%29,native,6.95.2,telkomsel.com,印度尼西亚,中苏拉威西省,pass
2022-03-17 19:44:15,2022-03-17 10:26:57,815750072222570,8822570,WV1ez5eafed975ef60512000869013bee,WV15z617a25560978bc2f0005f101fdb9,2022-03-17 19:47:43,182.1.171.80,MTOPSDK%2F3.1.1.7+%28Android%3B11%3BOPPO%3BCPH2269%29,native,6.88.1,telkomsel.com,印度尼西亚,中苏拉威西省,sms
2022-03-16 15:41:38,2022-03-16 12:08:13,815114057837085,9137085,WV600000e6084465120212c6bacb7e649,WV1dz62319b140587d30600063000f27e,2022-03-16 16:24:54,120.188.84.120,MTOPSDK%2F3.1.1.7+%28Android%3B10%3Bvivo%3Bvivo+1938%29,native,6.95.2,indosatooredoo.com,印度尼西亚,东南苏拉威西省,sms
2022-02-28 09:18:27,2022-02-27 19:07:26,802743618572624,9172624,WV1bz602692945ee474c800059600d4d1,WV19z5e86b57e23efa5d8000a2601113b,2022-02-27 22:59:02,114.5.105.86,MTOPSDK%2F3.1.1.7+%28Android%3B8.1.0%3BOPPO%3BCPH1909%29,native,6.94.2,indosatooredoo.com,印度尼西亚,东爪哇省,sms
2022-04-16 15:13:53,2022-04-09 21:27:07,842673928179870,9179870,WV1az615ef1e50ebb2ad20005f8020e8c,WV17z61397a9733a3872800060e011c97,2022-04-19 13:11:42,140.213.180.254,MTOPSDK%2F3.1.1.7+%28Android%3B10%3BXiaomi%3BM2006C3MG%29,native,6.96.0,xl.co.id,印度尼西亚,南苏拉威西省,sms
2022-03-19 12:45:44,2022-03-18 10:55:52,816465699977973,9477973,WV17z5a7da8011b0c301c00164f306407,WV6106125614374662021077aa1f3314e,2022-03-18 14:05:40,182.1.195.169,MTOPSDK%2F1.9.3.48%20%28iOS%3B15.4%3BApple%3BiPhone13%2C4%29,native,6.95.0,telkomsel.com,印度尼西亚,中苏拉威西省,sms
2022-05-07 12:20:57,2022-05-05 19:25:18,858205482773175,9573175,WV6005d2d603764cb10212b0eb4c2c8fc,wV19s627510350720e3c200069399815c,2022-05-06 20:12:06,125.165.108.44,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36 Edg/100.0.1185.50",pc,\N,telkom.co.id,印度尼西亚,廖内群岛省,3rd
2022-02-24 14:17:25,2022-02-24 13:16:47,800451480240058,9740058,WV1cz613e88a4577c378500060b008c38,WV19z61dba8a64bf3bbb60007680191c3,2022-02-24 13:02:23,202.67.42.46,MTOPSDK%2F3.1.1.7+%28Android%3B11%3Bvivo%3Bvivo+1904%29,native,6.91.1,tri.co.id,印度尼西亚,南苏门答腊省,sms
2022-04-21 09:25:20,2022-04-18 18:36:17,851554153399548,9799548,WV19z601f522367972ff600062e00d006,WV600001560f1d9e220212b5e973cd0df,2022-04-12 08:27:21,182.3.69.252,MTOPSDK%2F3.1.1.7+%28Android%3B11%3Bsamsung%3BSM-A326B%29,native,6.87.0,telkomsel.com,印度尼西亚,南苏门答腊省,sms
2022-03-17 09:10:36,2022-03-17 04:17:16,815634050841015,9941015,WV1az5d78ea4a6c0402880007f20103d3,WV44z5e17ff226bcf7c56000bcea25525,2022-03-14 13:40:29,140.213.231.98,MTOPSDK%2F3.1.1.7+%28Android%3B9%3Bsamsung%3BSM-G960U%29,native,6.95.2,xl.co.id,印度尼西亚,,sms
2022-03-18 10:10:57,2022-03-17 17:14:38,816039669099733,9999733,WV16z60adce2e518abd5c0005d900d607,WV1fz5a35f4e25228cd3400155532c4c6,2022-03-17 19:11:02,120.188.79.58,MTOPSDK%2F3.1.1.7+%28Android%3B7.1.1%3BOPPO%3BCPH1725%29,native,6.96.0,indosatooredoo.com,印度尼西亚,南苏拉威西省,sms
2022-05-09 22:26:43,2022-04-03 15:36:12,829907860020757,10220757,WV1ez5e0165a908d86ba700090c1277e2,WV1fu5fdcfedd37da196f00094f030046,2022-04-03 11:29:41,180.251.146.20,MTOPSDK%2F3.1.1.7+%28Android%3B10%3Bvivo%3Bvivo+1935%29,native,6.96.0,telkom.co.id,印度尼西亚,中苏拉威西省,sms
